scene_id,im_id,obj_id,score,R,t,time
48, 83, 6, 1, -0.8743511438369751 0.4852379560470581 -0.007359569426625967 0.12012503296136856 0.20171041786670685 -0.9720509052276611 -0.47019162774086 -0.850797712802887 -0.2346549928188324 , 44.23297196626663 61.757899820804596 815.9357309341431, -1
48, 83, 14, 1, 0.775945246219635 -0.6304845809936523 0.01994432508945465 -0.12234112620353699 -0.1814333200454712 -0.9757635593414307 0.6188225746154785 0.754699170589447 -0.2179166078567505 , 6.0107107274234295 -107.56418108940125 860.9651327133179, -1
48, 83, 19, 1, -0.10576799511909485 0.31889423727989197 -0.9418702721595764 -0.2769283056259155 0.9002655148506165 0.33590590953826904 0.9550517797470093 0.29635855555534363 -0.006908484734594822 , 76.3203352689743 -6.099359132349491 866.963803768158, -1
48, 83, 20, 1, -0.9999305605888367 0.010692515410482883 -0.00494271470233798 -0.007311699446290731 -0.23439711332321167 0.9721134901046753 0.009235787205398083 0.9720820784568787 0.2344590574502945 , -5.2612763829529285 92.35601872205734 693.1100487709045, -1
48, 112, 1, 1, 0.7183934450149536 -0.6956291198730469 0.0033720596693456173 -0.17183060944080353 -0.1821468621492386 -0.9681408405303955 0.674081027507782 0.6949265003204346 -0.25038349628448486 , 7.290750741958618 -17.17551425099373 883.6396336555481, -1
48, 112, 6, 1, -0.876833975315094 0.4806382954120636 -0.012212863191962242 0.12275522202253342 0.19923947751522064 -0.972231924533844 -0.4648585617542267 -0.8539850115776062 -0.2337009161710739 , 53.96371707320213 51.72719806432724 820.8366632461548, -1
48, 112, 14, 1, 0.7857836484909058 -0.6184675693511963 -0.006468864157795906 -0.1426086574792862 -0.17099203169345856 -0.9748971462249756 0.6018361449241638 0.7669808268547058 -0.22256161272525787 , 17.419055104255676 -117.66783148050308 864.3274903297424, -1
48, 112, 19, 1, 0.03177512809634209 0.22609102725982666 0.9735876321792603 0.00967564806342125 0.973964512348175 -0.22649447619915009 -0.9994481801986694 0.016617126762866974 0.028760159388184547 , 87.54153549671173 -21.583635360002518 889.6311521530151, -1
48, 112, 20, 1, -0.9994396567344666 0.03092951700091362 0.012794964015483856 0.004728263709694147 -0.24797014892101288 0.9687561988830566 0.03313587233424187 0.9682738780975342 0.24768495559692383 , 2.4425131268799305 82.99685269594193 699.307382106781, -1
48, 1024, 1, 1, -0.9974606037139893 -0.07096588611602783 -0.006035303696990013 -0.013661201111972332 0.2738024592399597 -0.9616889357566833 0.06989961862564087 -0.9591642618179321 -0.2740767002105713 , 74.76837188005447 2.467967104166746 1004.6443939208984, -1
48, 1024, 6, 1, -0.9932291507720947 -0.11588576436042786 -0.008128066547214985 -0.023014133796095848 0.26486220955848694 -0.964011549949646 0.11386802792549133 -0.9572973847389221 -0.265735924243927 , 69.23294067382812 76.07557624578476 934.482216835022, -1
48, 1024, 14, 1, 0.9965392351150513 -0.08237412571907043 0.011139955371618271 -0.012722364626824856 -0.28358474373817444 -0.9588627815246582 0.08214456588029861 0.955402672290802 -0.28365135192871094 , 83.9918702840805 -96.80724889039993 975.8929014205933, -1
48, 1024, 19, 1, -0.5554108619689941 -0.8226989507675171 0.12118279933929443 0.47411876916885376 -0.19356322288513184 0.8589205145835876 -0.6831765174865723 0.5345088839530945 0.49756425619125366 , -42.593471705913544 97.23738580942154 854.1269898414612, -1
48, 1024, 20, 1, -0.8007197976112366 0.5990372896194458 -0.0014831034932285547 -0.15714991092681885 -0.20766842365264893 0.9654935002326965 0.5780586004257202 0.7733227610588074 0.2604227662086487 , -49.08987134695053 97.39772975444794 864.5631074905396, -1
48, 1027, 1, 1, 0.9825984239578247 -0.18571367859840393 0.003253991948440671 -0.046926770359277725 -0.2651607096195221 -0.9630617499351501 0.17971664667129517 0.9461500644683838 -0.2692614495754242 , 85.78557521104813 8.229486644268036 1002.3678541183472, -1
48, 1027, 6, 1, -0.997336208820343 -0.07267151772975922 0.00625883974134922 -0.025089116767048836 0.2612132132053375 -0.9649549722671509 0.06848998367786407 -0.9625415802001953 -0.2623407244682312 , 78.27048748731613 82.2417214512825 933.0368638038635, -1
48, 1027, 14, 1, 0.9981934428215027 -0.05456579849123955 -0.0251428484916687 -0.03895682096481323 -0.2692519426345825 -0.962281346321106 0.04573792591691017 0.9615226984024048 -0.27089133858680725 , 93.78077834844589 -89.69854563474655 972.5015759468079, -1
48, 1027, 19, 1, -0.5470463037490845 -0.8221189975738525 0.15767286717891693 0.49213355779647827 -0.16348569095134735 0.8550304770469666 -0.6771594882011414 0.5453373789787292 0.49402663111686707 , -33.15747156739235 100.36805272102356 853.3537983894348, -1
48, 1027, 20, 1, -0.6175705790519714 -0.7864977717399597 -0.005277889780700207 -0.19908374547958374 0.1628086417913437 -0.9663638472557068 0.7609022855758667 -0.5957470536231995 -0.25712475180625916 , -51.78549885749817 106.4685806632042 850.0388860702515, -1
48, 1059, 1, 1, -0.9938136339187622 -0.11040757596492767 0.01201606821268797 -0.043155521154403687 0.28421643376350403 -0.9577882885932922 0.10233201086521149 -0.9523817300796509 -0.28722289204597473 , 94.06588971614838 -8.878320455551147 1005.6232213973999, -1
48, 1059, 6, 1, -0.9874475002288818 -0.15706947445869446 0.016630249097943306 -0.059862155467271805 0.2747279107570648 -0.9596567749977112 0.14616404473781586 -0.9486060738563538 -0.28068190813064575 , 83.67056399583817 65.89150428771973 936.7508292198181, -1
48, 1059, 14, 1, 0.9961870312690735 0.08419179171323776 0.022876042872667313 0.04724510386586189 -0.300153523683548 -0.9527202844619751 -0.073344886302948 0.9501683115959167 -0.3029867112636566 , 105.67037761211395 -106.55902326107025 975.7853746414185, -1
48, 1059, 19, 1, 0.45989567041397095 0.314283549785614 -0.8304948806762695 -0.35148462653160095 0.9233120083808899 0.1547696590423584 0.8154473900794983 0.2207282930612564 0.5350929498672485 , 152.1551012992859 3.3909743651747704 951.633095741272, -1
48, 1059, 20, 1, -0.6032619476318359 -0.7974912524223328 0.00908929854631424 -0.22604268789291382 0.16003839671611786 -0.960881233215332 0.7648397088050842 -0.5817174315452576 -0.2768121659755707 , -49.26104098558426 88.38280290365219 857.2094440460205, -1
48, 1074, 1, 1, -0.9939767122268677 -0.10885314643383026 0.012701720930635929 -0.04007440432906151 0.25314444303512573 -0.9665982127189636 0.1020018458366394 -0.9612849950790405 -0.2559819221496582 , 73.22652637958527 17.703674733638763 1025.450587272644, -1
48, 1074, 6, 1, -0.9882516264915466 -0.15280383825302124 0.0031157208140939474 -0.03885507956147194 0.23147229850292206 -0.9720652103424072 0.14781412482261658 -0.960766077041626 -0.23468996584415436 , 63.20789456367493 89.82579410076141 955.5453062057495, -1
48, 1074, 14, 1, 0.9983648061752319 -0.0497322641313076 0.02818531170487404 0.013638501055538654 -0.27159327268600464 -0.9623154401779175 0.05551311373710632 0.9611263275146484 -0.2704709470272064 , 84.22069996595383 -80.11515438556671 998.3932375907898, -1
48, 1074, 19, 1, -0.5593653321266174 -0.8285672068595886 0.024222351610660553 0.37316152453422546 -0.22561292350292206 0.899916410446167 -0.740176260471344 0.5124208331108093 0.4353894591331482 , -48.66242781281471 105.43446242809296 873.7754225730896, -1
48, 1074, 20, 1, 0.12749634683132172 0.48681995272636414 0.864147424697876 0.9913110733032227 -0.03412174805998802 -0.127035453915596 -0.032357197254896164 0.8728355169296265 -0.48694050312042236 , 142.2860026359558 25.928497314453125 998.7598061561584, -1
48, 1075, 1, 1, -0.9943749308586121 -0.1042909026145935 0.018488598987460136 -0.04533616453409195 0.2613339126110077 -0.9641831517219543 0.09572382271289825 -0.9595978260040283 -0.26459190249443054 , 72.83615320920944 15.065253712236881 1025.5759954452515, -1
48, 1075, 6, 1, -0.9915862679481506 -0.1279076784849167 0.019902853295207024 -0.051389776170253754 0.24785660207271576 -0.9674327373504639 0.1188090443611145 -0.9603159427642822 -0.25234442949295044 , 62.716513872146606 87.5352993607521 955.9414386749268, -1
48, 1075, 14, 1, 0.9889556169509888 0.14555752277374268 0.027926484122872353 0.06617636233568192 -0.26505932211875916 -0.9619585275650024 -0.13261817395687103 0.9531822204589844 -0.2717643976211548 , 83.04940164089203 -82.59997516870499 995.337724685669, -1
48, 1075, 19, 1, -0.5940372943878174 -0.8025424480438232 0.05518592149019241 0.38659292459487915 -0.22464652359485626 0.8944718241691589 -0.7054542899131775 0.5526841878890991 0.44370558857917786 , -52.284520119428635 105.14433681964874 881.3656568527222, -1
48, 1075, 20, 1, -0.6116037964820862 -0.7909830212593079 0.016928303986787796 -0.20086994767189026 0.1345500648021698 -0.9703337550163269 0.7652397155761719 -0.5968602299690247 -0.2411760687828064 , -68.3012306690216 109.18711125850677 874.1076588630676, -1
48, 1083, 1, 1, 0.9926995635032654 -0.11990883201360703 0.013000615872442722 -0.020273489877581596 -0.27214524149894714 -0.9620424509048462 0.11889546364545822 0.9547559022903442 -0.2725895643234253 , 81.56916499137878 14.734350144863129 1029.8041105270386, -1
48, 1083, 6, 1, -0.9838526844978333 -0.17897729575634003 0.0009461310692131519 -0.04874996468424797 0.2628886103630066 -0.9635937809944153 0.1722128987312317 -0.9480804800987244 -0.2673689126968384 , 70.47078013420105 87.7552255988121 960.2270126342773, -1
48, 1083, 14, 1, 0.9987377524375916 -0.03626030683517456 0.03475435823202133 0.023253019899129868 -0.27952247858047485 -0.9598575830459595 0.04451936110854149 0.9594542384147644 -0.2783265709877014 , 93.3719277381897 -83.30567181110382 1001.2723207473755, -1
48, 1083, 19, 1, -0.5637936592102051 -0.8192868828773499 0.1044301837682724 0.46746474504470825 -0.2123040109872818 0.8581396341323853 -0.6808916926383972 0.532630980014801 0.5026835203170776 , -41.57344251871109 103.80080342292786 880.8784484863281, -1
48, 1083, 20, 1, -0.6025829911231995 -0.7978289723396301 0.019045408815145493 -0.2159876525402069 0.1400638073682785 -0.9662978053092957 0.768272876739502 -0.5863881707191467 -0.2567213475704193 , -62.34213709831238 107.93352127075195 879.1999220848083, -1
48, 1087, 1, 1, -0.9893656373023987 -0.14444512128829956 0.017061706632375717 -0.053482405841350555 0.2521972060203552 -0.9661966562271118 0.1352595090866089 -0.9568344354629517 -0.25724056363105774 , 80.28125017881393 19.440224394202232 1034.9438190460205, -1
48, 1087, 6, 1, -0.9880692958831787 -0.15092629194259644 0.030665051192045212 -0.06687305122613907 0.24108043313026428 -0.9681985378265381 0.1387338936328888 -0.9586979150772095 -0.24829711019992828 , 67.9091364145279 91.65557473897934 965.4866456985474, -1
48, 1087, 14, 1, 0.9988501667976379 -0.025056738406419754 0.040871020406484604 0.032135430723428726 -0.2826947867870331 -0.9586715698242188 0.035575199872255325 0.958882749080658 -0.2815644443035126 , 92.03240275382996 -78.22548598051071 1007.6032876968384, -1
48, 1087, 19, 1, -0.5671005249023438 -0.8235780000686646 0.010780327022075653 0.3691340982913971 -0.24243484437465668 0.897198498249054 -0.7362995147705078 0.5127811431884766 0.44149577617645264 , -45.16161605715752 106.31344467401505 886.7206573486328, -1
48, 1087, 20, 1, -0.6052694320678711 -0.7957183718681335 0.02194034680724144 -0.2061944305896759 0.1301024705171585 -0.9698232412338257 0.7688515782356262 -0.5915283560752869 -0.24281974136829376 , -64.87835943698883 111.55575513839722 885.5222463607788, -1
48, 1090, 1, 1, 0.9944269061088562 -0.10458307713270187 0.013332800939679146 -0.013741772621870041 -0.2539568543434143 -0.9671178460121155 0.10453014075756073 0.9615446329116821 -0.2539786994457245 , 74.23418015241623 20.172741264104843 1040.3661727905273, -1
48, 1090, 6, 1, -0.977617621421814 -0.21034148335456848 -0.004485019948333502 -0.047265131026506424 0.24035029113292694 -0.9695346355438232 0.20501144230365753 -0.947622537612915 -0.2449125498533249 , 63.27797472476959 91.9867753982544 970.0207710266113, -1
48, 1090, 14, 1, 0.9992231726646423 -0.004935818258672953 0.03909466043114662 0.03619860112667084 -0.27703189849853516 -0.9601787328720093 0.01556971576064825 0.9608480930328369 -0.27663809061050415 , 85.30030399560928 -78.64930480718613 1012.2156143188477, -1
48, 1090, 19, 1, -0.5643669962882996 -0.8252813816070557 0.020017307251691818 0.36776816844940186 -0.22964084148406982 0.9011169672012329 -0.739078164100647 0.5159222483634949 0.4331139028072357 , -51.027972251176834 106.37587308883667 889.9279236793518, -1
48, 1090, 20, 1, -0.6033036708831787 -0.7973801493644714 0.014478778466582298 -0.2005867063999176 0.13414405286312103 -0.9704486131668091 0.7718741297721863 -0.5883793234825134 -0.24087345600128174 , -70.74736803770065 111.76682263612747 889.5559906959534, -1
48, 1094, 1, 1, -0.9925718307495117 -0.12097877264022827 0.012856677174568176 -0.04294344037771225 0.2495204359292984 -0.9674168229103088 0.11382894963026047 -0.9607829451560974 -0.2528621256351471 , 64.91769850254059 18.36976408958435 1045.4713106155396, -1
48, 1094, 6, 1, -0.9849276542663574 -0.17284098267555237 0.006586910225450993 -0.046727415174245834 0.229222372174263 -0.972251832485199 0.16653499007225037 -0.9579055905342102 -0.23384378850460052 , 54.684340953826904 89.6391049027443 975.1644134521484, -1
48, 1094, 14, 1, 0.9991980791091919 -0.022550469264388084 0.033082205802202225 0.025716081261634827 -0.27182358503341675 -0.9620033502578735 0.030686132609844208 0.9620828032493591 -0.27102580666542053 , 75.02751052379608 -80.29275387525558 1018.3905363082886, -1
48, 1094, 19, 1, -0.5677688121795654 -0.822459876537323 0.03461550548672676 0.3810378909111023 -0.22530248761177063 0.8966877460479736 -0.729690670967102 0.5223012566566467 0.44130808115005493 , -60.149919241666794 105.29045760631561 894.5648670196533, -1
48, 1094, 20, 1, -0.6065226793289185 -0.7950263619422913 0.00796229112893343 -0.2040826976299286 0.1459992378950119 -0.9680054187774658 0.7684272527694702 -0.5887421369552612 -0.2508029639720917 , -78.04399728775024 110.26792228221893 893.6848640441895, -1
48, 1097, 1, 1, -0.9937587976455688 -0.11013258248567581 0.017725206911563873 -0.04586989805102348 0.25860366225242615 -0.9648937582969666 0.10168249905109406 -0.9596848487854004 -0.26204147934913635 , 67.97025352716446 16.57673344016075 1046.2268590927124, -1
48, 1097, 6, 1, -0.9931630492210388 -0.11299175024032593 0.02932816743850708 -0.05582473427057266 0.23906561732292175 -0.9693973660469055 0.10252256691455841 -0.9644067883491516 -0.24373888969421387 , 56.64873868227005 88.83235603570938 975.5557179450989, -1
48, 1097, 14, 1, 0.997913122177124 -0.057277921587228775 0.029810545966029167 0.012930206023156643 -0.27506011724472046 -0.9613401889801025 0.06326327472925186 0.9597192406654358 -0.2737455368041992 , 78.10167223215103 -81.5718024969101 1018.8455581665039, -1
48, 1097, 19, 1, -0.5667641162872314 -0.8235606551170349 0.02294003963470459 0.3732472062110901 -0.2318422943353653 0.8982959389686584 -0.7344827651977539 0.517684280872345 0.4387916624546051 , -56.196749210357666 103.94971072673798 895.4666256904602, -1
48, 1097, 20, 1, -0.6050311326980591 -0.7960570454597473 0.015178115107119083 -0.20558199286460876 0.1377759724855423 -0.9688931107521057 0.7692031264305115 -0.5893308520317078 -0.24701382219791412 , -75.27768611907959 109.28311944007874 895.4350352287292, -1
48, 1103, 1, 1, 0.9952139258384705 -0.09723442792892456 0.009729264304041862 -0.01599145121872425 -0.2602737545967102 -0.9654024839401245 0.0964025929570198 0.9606264233589172 -0.26058295369148254 , 79.77497577667236 10.73513925075531 1045.6119775772095, -1
48, 1103, 6, 1, -0.9805099964141846 -0.19646689295768738 0.0009674833272583783 -0.0494675412774086 0.24210642278194427 -0.968987762928009 0.19013972580432892 -0.9501501321792603 -0.2471066266298294 , 67.98548251390457 82.83792436122894 976.0120511054993, -1
48, 1103, 14, 1, 0.9952588081359863 0.09469129145145416 0.022215379402041435 0.047108426690101624 -0.2694774866104126 -0.9618538022041321 -0.08509258180856705 0.9583398699760437 -0.2726605534553528 , 89.65618908405304 -87.77320384979248 1016.6665315628052, -1
48, 1103, 19, 1, -0.5578017830848694 -0.827759861946106 0.06058686226606369 0.4851943552494049 -0.26598936319351196 0.8329683542251587 -0.6733822226524353 0.49402764439582825 0.5499938130378723 , -49.66042563319206 97.43860363960266 899.4301557540894, -1
48, 1103, 20, 1, -0.5887538194656372 -0.8081895709037781 0.014095675200223923 -0.2040388286113739 0.13172027468681335 -0.9700608849525452 0.7821363806724548 -0.5740029811859131 -0.24245285987854004 , -67.21031665802002 103.70726883411407 898.685097694397, -1
48, 1104, 1, 1, -0.9856876730918884 -0.1684863269329071 0.005673185456544161 -0.048722799867391586 0.2525017559528351 -0.9663689732551575 0.16138753294944763 -0.9528144598007202 -0.25709694623947144 , 78.54196429252625 9.476466104388237 1045.926570892334, -1
48, 1104, 6, 1, -0.9819400906562805 -0.18908539414405823 0.006353264208883047 -0.05353257432579994 0.245478093624115 -0.9679227471351624 0.18146048486232758 -0.950782299041748 -0.25116708874702454 , 65.52796810865402 81.50490373373032 976.8596291542053, -1
48, 1104, 14, 1, 0.9990625977516174 -0.03040364570915699 0.03081156499683857 0.02066451869904995 -0.2904627025127411 -0.9566631317138672 0.038035668432712555 0.9564031958580017 -0.2895621955394745 , 88.59071880578995 -88.97566795349121 1019.4569826126099, -1
48, 1104, 19, 1, -0.5875272154808044 -0.8081369400024414 0.04155424237251282 0.38240912556648254 -0.23202787339687347 0.8943861722946167 -0.7131445407867432 0.5413668155670166 0.4453616440296173 , -48.9286370575428 97.2706750035286 899.5141983032227, -1
48, 1104, 20, 1, -0.5885161757469177 -0.808381199836731 0.012990409508347511 -0.19992472231388092 0.1299426257610321 -0.9711564779281616 0.7833766341209412 -0.574138343334198 -0.2380886673927307 , -68.96340847015381 102.42674499750137 899.548351764679, -1
48, 1107, 1, 1, 0.9953197240829468 -0.0953327864408493 0.01582414098083973 -0.009814247488975525 -0.26262012124061584 -0.9648494124412537 0.09613756090402603 0.9601783752441406 -0.26232656836509705 , 76.96721702814102 6.4918240532279015 1048.5899448394775, -1
48, 1107, 6, 1, -0.9837073087692261 -0.17873790860176086 0.01930728554725647 -0.06520470976829529 0.2546406388282776 -0.9648351073265076 0.16753607988357544 -0.950374186038971 -0.26214635372161865 , 64.2317607998848 78.50655168294907 978.5670638084412, -1
48, 1107, 14, 1, 0.9992362260818481 -0.03028341941535473 0.02469784766435623 0.014867015182971954 -0.2898889183998108 -0.9569447636604309 0.03613923862576485 0.9565811157226562 -0.28921738266944885 , 86.81108057498932 -92.02855080366135 1020.1593637466431, -1
48, 1107, 19, 1, -0.5854949951171875 -0.8104748129844666 0.018064243718981743 0.36691755056381226 -0.24506336450576782 0.8973936438560486 -0.7228879928588867 0.5320475697517395 0.4408607482910156 , -52.238911390304565 95.6500694155693 901.5637040138245, -1
48, 1107, 20, 1, -0.583989143371582 -0.8116226196289062 0.015019576996564865 -0.2136385142803192 0.13581709563732147 -0.9674257040023804 0.7831445336341858 -0.5681747198104858 -0.2527095079421997 , -70.04876434803009 99.87837076187134 902.0010828971863, -1
48, 1113, 1, 1, -0.9885218143463135 -0.14983685314655304 0.019327780231833458 -0.05755474045872688 0.2552073895931244 -0.9651716947555542 0.1396857351064682 -0.9552057385444641 -0.2609018385410309 , 90.55448323488235 12.69401516765356 1051.537275314331, -1
48, 1113, 6, 1, -0.9820022583007812 -0.18623889982700348 0.031410105526447296 -0.07749208807945251 0.24563629925251007 -0.9662597179412842 0.1722397357225418 -0.951303243637085 -0.2556475102901459 , 75.9689062833786 84.53822135925293 982.3161363601685, -1
48, 1113, 14, 1, 0.9846099019050598 0.17024001479148865 0.03951674699783325 0.08358503133058548 -0.26013678312301636 -0.9619472622871399 -0.153482124209404 0.9504459500312805 -0.2703627645969391 , 100.71492195129395 -84.81933921575546 1021.5475559234619, -1
48, 1113, 19, 1, -0.5968133807182312 -0.8020240068435669 0.02390269935131073 0.36764365434646606 -0.24685454368591309 0.896605372428894 -0.7131984829902649 0.5438936352729797 0.4421851336956024 , -41.28909111022949 98.5042005777359 907.5772166252136, -1
48, 1113, 20, 1, -0.5757079124450684 -0.817511796951294 0.015332880429923534 -0.2198595553636551 0.13671337068080902 -0.9659044742584229 0.7875420451164246 -0.5594497323036194 -0.258444607257843 , -60.13471633195877 103.30071300268173 907.3182344436646, -1
48, 1119, 1, 1, -0.9844536781311035 -0.17490671575069427 0.01608133688569069 -0.06036826968193054 0.25095272064208984 -0.9661149978637695 0.16494441032409668 -0.9520663022994995 -0.25761011242866516 , 95.2286347746849 9.50496643781662 1058.242917060852, -1
48, 1119, 6, 1, -0.9805537462234497 -0.19494065642356873 0.022626366466283798 -0.07241223007440567 0.25223472714424133 -0.9649529457092285 0.18240128457546234 -0.9478268623352051 -0.26144587993621826 , 79.47574555873871 81.23872429132462 988.9212846755981, -1
48, 1119, 14, 1, 0.9997204542160034 0.003376340726390481 0.02340182475745678 0.023452719673514366 -0.2672688364982605 -0.9633365869522095 0.003002036828547716 0.9636160731315613 -0.2672732472419739 , 106.39755427837372 -88.43543380498886 1030.8542251586914, -1
48, 1119, 19, 1, -0.6171393394470215 -0.7866498231887817 0.017925696447491646 0.3428051471710205 -0.2482910305261612 0.9060000777244568 -0.7082539200782776 0.5652732849121094 0.42289790511131287 , -38.36944326758385 96.63285315036774 916.3228273391724, -1
48, 1119, 20, 1, 0.21749518811702728 -0.5198808908462524 -0.8260868787765503 0.96397864818573 0.24716870486736298 0.0982491597533226 0.15310493111610413 -0.8176987767219543 0.5549120306968689 , 150.52996575832367 25.02482756972313 1006.4228773117065, -1
48, 1120, 1, 1, -0.9834244251251221 -0.1801171600818634 0.02084236778318882 -0.0664157047867775 0.25087305903434753 -0.9657388925552368 0.1687174141407013 -0.9511153101921082 -0.25867730379104614 , 95.57772427797318 10.059937834739685 1059.3160390853882, -1
48, 1120, 6, 1, -0.9777476191520691 -0.20894289016723633 0.01877569407224655 -0.07220447063446045 0.25114235281944275 -0.9652534127235413 0.19696737825870514 -0.9451298713684082 -0.2606404721736908 , 79.93337512016296 81.1840072274208 989.8703098297119, -1
48, 1120, 14, 1, 0.9611167907714844 0.27599257230758667 0.009113522246479988 0.08167888224124908 -0.2526027262210846 -0.9641164541244507 -0.2637869417667389 0.9273726344108582 -0.2653234899044037 , 106.33686929941177 -87.72911131381989 1028.0430316925049, -1
48, 1120, 19, 1, 0.5360360145568848 0.30068621039390564 -0.7888301014900208 -0.28783780336380005 0.9435226321220398 0.16405661404132843 0.7936086654663086 0.13911475241184235 0.5923109650611877 , 149.91356432437897 22.270891815423965 1002.686619758606, -1
48, 1120, 20, 1, 1.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 1.0 , 0.0 0.0 0.0, -1
48, 1122, 1, 1, -0.9796295166015625 -0.20029272139072418 0.014452238567173481 -0.06316958367824554 0.23904626071453094 -0.9689512848854065 0.19061927497386932 -0.950126051902771 -0.24682925641536713 , 96.6469943523407 11.548077687621117 1062.239408493042, -1
48, 1122, 6, 1, -0.9767142534255981 -0.2137550413608551 0.018375763669610023 -0.07180000096559525 0.24495850503444672 -0.9668713212013245 0.20217226445674896 -0.9456765651702881 -0.2546020746231079 , 80.22679388523102 82.14449137449265 992.6840662956238, -1
48, 1122, 14, 1, 0.9926596283912659 0.11958448588848114 0.018064552918076515 0.050836969166994095 -0.27704834938049316 -0.9595102071762085 -0.10973776131868362 0.9533853530883789 -0.2810940146446228 , 107.78751224279404 -87.36679702997208 1033.505916595459, -1
48, 1122, 19, 1, -0.6195858120918274 -0.7847239971160889 0.017933333292603493 0.33065083622932434 -0.24021096527576447 0.9126711487770081 -0.7118871808052063 0.5714077949523926 0.4083009660243988 , -38.19715976715088 97.44934737682343 920.4750657081604, -1
48, 1122, 20, 1, -0.5426346659660339 -0.8387503027915955 0.04522578790783882 -0.2061651200056076 0.08079787343740463 -0.9751754999160767 0.8142749071121216 -0.5384881496429443 -0.21676485240459442 , -57.64317139983177 100.4772037267685 921.5528964996338, -1
